unix_time,human_time,x_meters,y_meters,status_quality
1776286638.1434753,16:57:18.143,-0.261,1.6205,1
1776286639.1392524,16:57:19.139,-0.3021,1.5556,1
1776286642.1389477,16:57:22.138,-0.272,1.463,1
1776286643.1499326,16:57:23.149,-0.2857,1.2611,1
1776286644.1441867,16:57:24.144,-0.4254,8.218,1
1776286645.0894694,16:57:25.089,-0.4857,6.814,1
1776286646.0822113,16:57:26.082,-0.6323,5.6138,1
1776286647.0892658,16:57:27.089,-0.7227,4.4173,1
1776286648.0827944,16:57:28.082,-0.8761,2.917,1
1776286649.088945,16:57:29.088,-0.9405,1.9946,1
1776286652.0935647,16:57:32.093,-0.9583,0.2628,1
1776286653.0969026,16:57:33.096,-1.1911,-0.1521,1
1776286654.0850194,16:57:34.085,-1.4884,-0.517,1
1776286655.0966792,16:57:35.096,-1.8322,-1.1615,1
1776286656.1023767,16:57:36.102,-2.1117,-1.9117,1
1776286657.0999527,16:57:37.099,-2.2487,-2.3506,1
1776286658.0910945,16:57:38.091,-2.3788,-2.7581,1
1776286659.101145,16:57:39.101,-2.3788,-2.7581,1
1776286662.0919502,16:57:42.091,-2.7445,-4.7437,1
1776286663.1002202,16:57:43.100,-2.6076,-4.9974,1
1776286664.0912516,16:57:44.091,-2.5459,-5.0456,1
1776286665.1019335,16:57:45.101,-2.5103,-5.2012,1
1776286666.0924938,16:57:46.092,-2.4432,-5.3401,1
1776286667.101249,16:57:47.101,-2.4226,-5.3049,1
1776286668.0957947,16:57:48.095,-2.4199,-5.3568,1
1776286669.1037285,16:57:49.103,-2.4774,-5.629,1
1776286672.0925577,16:57:52.092,-2.3363,-6.2032,1
1776286673.10294,16:57:53.102,-2.2898,-6.6274,1
1776286674.091392,16:57:54.091,-2.135,-6.6848,1
1776286675.1030076,16:57:55.103,-2.1199,-6.946,1
1776286676.0942116,16:57:56.094,-2.0898,-7.0775,1
1776286677.1047344,16:57:57.104,-2.1541,-7.5739,1
1776286678.0919633,16:57:58.091,-2.2117,-7.7683,1
1776286679.1009192,16:57:59.100,-2.3226,-8.5518,1
1776286682.093069,16:58:02.093,-2.3199,-9.2353,1
1776286683.1034203,16:58:03.103,-2.3322,-9.515,1
1776286684.0927644,16:58:04.092,-2.3144,-9.4687,1
